numero,nom_four,autre_nom_four,num_entr,structure,nombre_employes,nombre_employes_mtl,politique_dev_durable,politique_appro_responsable,entreprise_econo_sociale,lieu_arr,lieu_ville,lieu_etat,lieu_pays,lieu_zone_achat
122918,PAVAGES D'AMOUR INC.,NEQ:1142398818,1142398818,*Société par actions/Corporations/Compagnie,50.0,,N,N,N,,Dorval,QC,CA,Conseil d'agglomération hors Montréal
125351,MEDIAS TRANSCONTINENTAL S.E.N.C,,3361761490,*Société en nom collectif,9000.0,,"O Plan, politique ou engagements de DD",N,N,Saint-Léonard,MONTREAL,QC,CA,Place d'affaires à Montréal
105016,NEWMAN TOOLS INC.,,000000NON,*Société par actions/Corporations/Compagnie,3.0,,N,N,N,,Ottawa,ON,CA,Canada mais hors Québec
64048,SENTINEL CANADA,LES LUBRIFIANTS SENTINEL CORP.,1149718968,*Société par actions/Corporations/Compagnie,30.0,,N,N,N,Côte-des-Neiges–Notre-Dame-de-Grâce,MONTREAL,QC,CA,Place d'affaires à Montréal
114744,ALBERT VIAU DIVISION EMCO CORPORATION,,1144664423,*Société par actions/Corporations/Compagnie,13.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
114752,ALPHA TABCO INC.,,1143047489,*Société par actions/Corporations/Compagnie,20.0,,N,N,N,,FARNHAM,QC,CA,Québec hors Conseil d'agglomération
116596,LAERDAL MEDICAL CANADA LIMITED,,000000NON,*Société par actions/Corporations/Compagnie,11.0,,N,N,N,,TORONTO,ON,CA,Canada mais hors Québec
114895,CANSEW  INC.,,1143158989,*Société par actions/Corporations/Compagnie,175.0,175.0,N,N,N,Ahuntsic-Cartierville,MONTREAL,QC,CA,Place d'affaires à Montréal
116416,SYSTEMES C.P.L. QUEBEC INC,,1143142843,*Société par actions/Corporations/Compagnie,8.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
116556,THERMOLEC LTEE,,1144024081,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,Saint-Laurent,SAINT-LAURENT,QC,CA,Place d'affaires à Montréal
116766,SCIAGE DE BETON ST-LEONARD  LTEE,,1142101378,*Société par actions/Corporations/Compagnie,60.0,,N,N,N,Anjou,MONTREAL,QC,CA,Place d'affaires à Montréal
151317,SUPERCHUTE LTD,,1142694992,*Société par actions/Corporations/Compagnie,25.0,,"O Plan, politique ou engagements de DD",N,N,LaSalle,MONTREAL,QC,CA,Place d'affaires à Montréal
120865,SILENCIEUX QUALITE MUFFLERS INC.,NEQ:1146125761,1146125761,*Société par actions/Corporations/Compagnie,40.0,40.0,N,N,N,Villeray–Saint-Michel–Parc-Extension,Montreal,QC,CA,Place d'affaires à Montréal
116131,MUELLER CANADA LTD.,,1144966513,*Société par actions/Corporations/Compagnie,43.0,,N,N,N,,BARRIE,ON,CA,Canada mais hors Québec
143916,LOREN WILLIAMS,,0000000NA,*Entreprise individuelle / Travailleur autonome,1.0,,N,N,N,Le Plateau-Mont-Royal,MONTREAL,QC,CA,Place d'affaires à Montréal
130392,MULTI AUTOMATIQUE TRANSMISSION 2005 INC,,1162836309,*Société par actions/Corporations/Compagnie,5.0,5.0,N,N,N,Saint-Léonard,SAINT-LEONARD,QC,CA,Place d'affaires à Montréal
114786,AU JARDIN DE JEAN-PIERRE ENR.,,1162082177,*Société par actions/Corporations/Compagnie,9.0,,N,N,N,,STE-CHRISTINE,QC,CA,Québec hors Conseil d'agglomération
114921,CENTRE DE TELEPHONE MOBILE LTEE,,1143717198,*Société par actions/Corporations/Compagnie,100.0,,N,N,N,Anjou,ANJOU,QC,CA,Place d'affaires à Montréal
117220,LES TRADUCTIONS TERRY KNOWLES INC.,,1143439173,*Société par actions/Corporations/Compagnie,2.0,,N,N,N,Côte-des-Neiges–Notre-Dame-de-Grâce,MONTREAL,QC,CA,Place d'affaires à Montréal
131957,LOUISE-ANDREE LAUZIERE,,0000000NA,*Entreprise individuelle / Travailleur autonome,5.0,5.0,N,N,N,Rosemont–La Petite-Patrie,MONTREAL,QC,CA,Place d'affaires à Montréal
152572,INSTITUT QUEBECOIS DE LA SECURITE DANS LES AIRES DE JEU (IQSAJ),,1165768129,*Organisme à  but non lucratif,5.0,5.0,N,N,N,,SAINT-HUBERT,QC,CA,Québec hors Conseil d'agglomération
116251,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,,1144139152,*Société par actions/Corporations/Compagnie,60.0,,N,N,N,Le Sud-Ouest,MONTREAL,QC,CA,Place d'affaires à Montréal
69435,BUREAU EN GROS,STAPLES CANADA ULC NEQ:1173183782,1173183782,*Société par actions/Corporations/Compagnie,10000.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,Saint-Léonard,St-Leonard,QC,CA,Place d'affaires à Montréal
140948,SABLIERES CHEVRIER & FILS INC.,,1169107167,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,,ST-LAZARRE,QC,CA,Québec hors Conseil d'agglomération
117413,DELTA PALANS INTERNATIONAL LTEE,,1142700377,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,Anjou,MONTREAL,QC,CA,Place d'affaires à Montréal
132619,REPARATEC DESIGN INC.,NEQ:1148823025,1148823025,*Société par actions/Corporations/Compagnie,6.0,,N,N,N,,Boucherville,QC,CA,Québec hors Conseil d'agglomération
117554,NATURAL INSECT CONTROL,,000000NON,*Société par actions/Corporations/Compagnie,10.0,,N,N,N,,STEVENSVILLE,ON,CA,Canada mais hors Québec
117001,USINAGE LEBRO INC.,,1143472984,*Société par actions/Corporations/Compagnie,13.0,,N,N,N,Saint-Léonard,MONTREAL,QC,CA,Place d'affaires à Montréal
140638,GROUPE REPROCOM,2426-8856 QUEBEC INC.,1143579101,*Société par actions/Corporations/Compagnie,3.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
117549,PIANO HERITAGE INC,,1143930304,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
104047,JEAN-MARC BEAUCHAMP,,2271656219,*Société par actions/Corporations/Compagnie,5.0,5.0,N,N,N,LaSalle,LASALLE,QC,CA,Place d'affaires à Montréal
118773,LABO S.M. INC.,,1143022672,*Société par actions/Corporations/Compagnie,175.0,5.0,N,N,N,Ahuntsic-Cartierville,MONTREAL,QC,CA,Place d'affaires à Montréal
118998,SOCADIS INC.,,1144130029,*Société par actions/Corporations/Compagnie,,,N,N,N,Saint-Laurent,SAINT-LAURENT,QC,CA,Place d'affaires à Montréal
141532,C.O. BOMBARDIER INC,,1146310389,*Société par actions/Corporations/Compagnie,,,N,N,N,,LONGUEUIL,QC,CA,Québec hors Conseil d'agglomération
26419,EQUIPARC MANUFACTURIER D'EQUIPEMENT DE PARCS INC.,,1143665777,*Société par actions/Corporations/Compagnie,50.0,,N,N,N,,ST-JEAN-SUR-RICHELIEU,QC,CA,Québec hors Conseil d'agglomération
141662,FORMAVIVA INC.,,1164161334,*Société par actions/Corporations/Compagnie,,,N,N,N,Rosemont–La Petite-Patrie,MONTREAL,QC,CA,Place d'affaires à Montréal
133220,LES ATTACHES ETHIER INC.,,1140132227,*Société par actions/Corporations/Compagnie,20.0,,N,N,N,,ST-JEROME,QC,CA,Québec hors Conseil d'agglomération
117802,LES ENTREPRISES BOURGET INC.,,1140509572,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,,ST-PAUL-DE-JOLIETTE,QC,CA,Québec hors Conseil d'agglomération
27094,P RIOPEL 1993 INC,,1145488715,*Société par actions/Corporations/Compagnie,22.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,Le Sud-Ouest,MONTREAL,QC,CA,Place d'affaires à Montréal
27185,FLEURISTE POUR VOUS INC.,,1143527472,*Société par actions/Corporations/Compagnie,,,N,N,N,Mercier–Hochelaga-Maisonneuve,MONTREAL,QC,CA,Place d'affaires à Montréal
145155,TRYSKELL COMMUNICATION,,2261282372,*Société par actions/Corporations/Compagnie,3.0,,N,N,N,,SAINT-ADRIEN,QC,CA,Québec hors Conseil d'agglomération
124021,BIOVAC SYSTEM INC.,,1161357752,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,Villeray–Saint-Michel–Parc-Extension,MONTREAL,QC,CA,Place d'affaires à Montréal
123543,CENTRE DU BRICOLEUR LACHINE LTEE,,1142789529,*Société par actions/Corporations/Compagnie,50.0,,N,N,N,Lachine,LACHINE,QC,CA,Place d'affaires à Montréal
123835,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,,1161227955,*Société par actions/Corporations/Compagnie,17.0,,N,N,N,,ST-JEROME,QC,CA,Québec hors Conseil d'agglomération
34132,TRADUCTIONS COHEN-HAMILTON,INTERNATIONAL RIVE NORD INC.,3341587213,*Société par actions/Corporations/Compagnie,1.0,,N,N,N,,DOLLARD-DES-ORMEAUX,QC,CA,Conseil d'agglomération hors Montréal
134148,PRESTE INC,,1148314900,*Société par actions/Corporations/Compagnie,6.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
141082,RIVE SUD CHRYSLER DODGE INC.,,1142800540,*Société par actions/Corporations/Compagnie,67.0,,"O Plan, politique ou engagements de DD",N,N,,BROSSARD,QC,CA,Québec hors Conseil d'agglomération
154528,PLANIA INC.,,1142665786,*Société par actions/Corporations/Compagnie,,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
133014,YVES BEAUPRE,,2241467176,*Entreprise individuelle / Travailleur autonome,,,N,N,N,Le Plateau-Mont-Royal,MONTREAL,QC,CA,Place d'affaires à Montréal
141920,GO MULTIMEDIA INC.,GO MULTI MEDIA INC.,1147665641,*Société par actions/Corporations/Compagnie,9.0,,N,N,N,Le Plateau-Mont-Royal,MONTREAL,QC,CA,Place d'affaires à Montréal
142200,FX PRODUCTIONS INC.,,1166386285,*Société par actions/Corporations/Compagnie,6.0,,"O Plan, politique ou engagements de DD",N,N,,SAINT-BRUNO,QC,CA,Québec hors Conseil d'agglomération
149174,BILL VAZAN,,000000NON,*Entreprise individuelle / Travailleur autonome,,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,Mercier–Hochelaga-Maisonneuve,MONTREAL,QC,CA,Place d'affaires à Montréal
149238,DESIGNFUSION,,1165247512,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,,ILE DES SOEURS,QC,CA,Québec hors Conseil d'agglomération
149086,FLEURISTE CARMINE,9154-5301 QUEBEC INC,1162913272,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,Saint-Léonard,MONTREAL,QC,CA,Place d'affaires à Montréal
137878,LES PECHEURS ET CHASSEURS SPORTIFS DU LAC ST-LOUIS INC,NEQ:1143438530,1143438530,*Organisme à  but non lucratif,,,N,N,N,Lachine,Lachine,QC,CA,Place d'affaires à Montréal
142483,GOODALL RUBBER COMPANY OF CANADA ULC,,1165067415,*Société par actions/Corporations/Compagnie,2000.0,,N,N,N,Anjou,MONTREAL,QC,CA,Place d'affaires à Montréal
119422,CCSE MAISONNEUVE.,NEQ:1143217769,1143217769,*Organisme à  but non lucratif,75.0,,"O Plan, politique ou engagements de responsabilité sociale","O Plan, politique ou engagements de DD",N,Mercier–Hochelaga-Maisonneuve,Montreal,QC,CA,Place d'affaires à Montréal
119723,COMMUNICATIONS NICOLE MOUSSEAU (LES),,,*Entreprise individuelle / Travailleur autonome,2.0,,N,N,N,Le Sud-Ouest,MONTREAL,QC,CA,Place d'affaires à Montréal
104873,COMPRESSEURS D'AIR EXPRESS INC,,1147135124,*Société par actions/Corporations/Compagnie,15.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
115619,SUPERIEUR PROPANE,SUPERIOR GENERAL PARTNER INC,1165668691,*Société par actions/Corporations/Compagnie,8000.0,135.0,N,"O Plan, politique ou engagements de responsabilité sociale",O,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
115639,TECHNI-MAX INC,,1146882577,*Société par actions/Corporations/Compagnie,5.0,5.0,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
